企业 id,开始经�?开始时�?开始纬�?用户id,结束经度,结束纬度,结束时间,,,
-,113.8368104,"	2021-08-31 01:10:58.0",22.728313,614d78595f195c0859f241**********,113.8487557,22.72112355,"	2021-08-31 01:18:40.0"
-,113.8460259,"	2021-08-31 01:10:46.0",22.6314003,b1bb6f1b69669dfa35aa0e**********,113.8429209,22.62546049,"	2021-08-31 01:15:55.0"
-,113.8120009,"	2021-08-31 01:10:45.0",22.6690633,ee9b1840d48a867deb2906**********,113.8206295,22.67034951,"	2021-08-31 01:18:42.0"
-,113.8614608,"	2021-08-31 01:10:45.0",22.7991724,3decbeecdbb0acaca8b3e6**********,113.8571317,22.79991144,"	2021-08-31 01:16:13.0"
-,113.8393631,"	2021-08-31 01:10:27.0",22.7358797,43111828e357a325f8937d**********,113.8382409,22.73597126,"	2021-08-31 01:15:29.0"
-,113.8370554,"	2021-08-31 01:10:25.0",22.790957,bd2b352b51d933c5615b0e**********,113.8429852,22.79760692,"	2021-08-31 01:20:21.0"
-,113.8403149,"	2021-08-31 01:10:24.0",22.808068,80f6e7dcb2172196dbf506**********,113.8426362,22.81345567,"	2021-08-31 01:13:58.0"
-,113.8075602,"	2021-08-31 01:10:23.0",22.7296777,c854c3c5d1dc61dbb6fa1d**********,113.8204816,22.73578911,"	2021-08-31 01:22:38.0"
-,113.8833507,"	2021-08-31 01:10:23.0",22.8157756,17675ad753d73e264ed5c6**********,113.880275,22.80815054,"	2021-08-31 01:15:44.0"
-,114.1146208,"	2021-08-31 01:10:17.0",22.543147,11352b30b48b1cf70837b4**********,114.1088488,22.55018292,"	2021-08-31 01:20:37.0"
-,113.9077843,"	2021-08-31 01:10:17.0",22.7493612,17f05311535b5af9000f58**********,113.9101352,22.75982197,"	2021-08-31 01:18:17.0"
-,113.8707104,"	2021-08-31 01:10:15.0",22.5689076,babef034c6fd982b9f38ea**********,113.86584,22.57741786,"	2021-08-31 01:21:26.0"
-,113.8267562,"	2021-08-31 01:10:11.0",22.7216591,cd77af08d36d2d70766e01**********,113.8284474,22.72119023,"	2021-08-31 01:15:53.0"
-,113.8449873,"	2021-08-31 01:10:09.0",22.6116225,089dbaf108ccb6f4829414**********,113.8456899,22.61395783,"	2021-08-31 01:12:07.0"
-,114.118897,"	2021-08-31 01:10:08.0",22.5445847,f9d2546782bd64799a50ac**********,114.1247047,22.55217681,"	2021-08-31 01:21:18.0"
-,113.841451,"	2021-08-31 01:10:08.0",22.6267158,8640e6ca807df9b69aad28**********,113.8439479,22.62177294,"	2021-08-31 01:14:37.0"
-,114.0420063,"	2021-08-31 01:10:07.0",22.64414057,96a11e2286784589df0f96**********,114.042511,22.64759099,"	2021-08-31 01:18:53.0"
-,113.9402292,"	2021-08-31 01:10:07.0",22.6801478,f492257f4b79eabdb81e5d**********,113.9331788,22.68155295,"	2021-08-31 01:17:10.0"
-,113.9070201,"	2021-08-31 01:10:01.0",22.7285251,4da67d9191e75e662d5280**********,113.8650636,22.57792071,"	2021-08-31 01:20:18.0"
-,113.8012047,"	2021-08-31 01:10:01.0",22.7104514,dc61fda41666a15b781ad3**********,113.805701,22.71189362,"	2021-08-31 01:18:47.0"
-,113.8173283,"	2021-08-31 01:09:58.0",22.7648991,d5fe96f9f35bf8a1ebe457**********,113.816253,22.77175968,"	2021-08-31 01:16:57.0"
-,113.8076044,"	2021-08-31 01:09:55.0",22.7501232,3e1b7545d4dd85d94c0494**********,113.8077813,22.75093173,"	2021-08-31 01:11:02.0"
-,113.8910216,"	2021-08-31 01:09:53.0",22.7889697,005231fb3dd6be0cbdab0c**********,113.8938632,22.78702355,"	2021-08-31 01:13:15.0"
-,113.7931554,"	2021-08-31 01:09:52.0",22.6903844,8b9b83304bd09ab5afaa6c**********,113.7935046,22.69455392,"	2021-08-31 01:14:40.0"
